,bizesId,bizesNm,brchNm,indsLclsCd,indsLclsNm,indsMclsCd,indsMclsNm,indsSclsCd,indsSclsNm,ksicCd,ksicNm,ctprvnCd,ctprvnNm,signguCd,signguNm,adongCd,adongNm,ldongCd,ldongNm,lnoCd,plotSctCd,plotSctNm,lnoMnno,lnoSlno,lnoAdr,rdnmCd,rdnm,bldMnno,bldSlno,bldMngNo,bldNm,rdnmAdr,oldZipcd,newZipcd,dongNo,flrNo,hoNo,lon,lat
20,11950813,백곰막걸리와양조장,,Q,음식,Q09,유흥주점,Q09A01,호프/맥주,I56219,기타 주점업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106570007,1,대지,657,7,서울특별시 강남구 신사동 657-7,116804166525,서울특별시 강남구 압구정로48길,39,,1168010700106570007010074,,서울특별시 강남구 압구정로48길 39,135897,06018,,1,,127.037058935116,37.525933077806
21,11958577,아우어,,Q,음식,Q08,제과제빵떡케익,Q08A01,제과점,I56191,제과점업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106480014,1,대지,648,14,서울특별시 강남구 신사동 648-14,116804166277,서울특별시 강남구 도산대로45길,10,11,1168010700106480014000002,JYC2빌딩,서울특별시 강남구 도산대로45길 10-11,135896,06020,,1,,127.036863383869,37.5235436958466
22,11967817,아우어베이커리,도산본점,Q,음식,Q08,제과제빵떡케익,Q08A01,제과점,I56191,제과점업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106480014,1,대지,648,14,서울특별시 강남구 신사동 648-14,116804166277,서울특별시 강남구 도산대로45길,10,11,1168010700106480014000002,JYC2빌딩,서울특별시 강남구 도산대로45길 10-11,135896,06020,,1,,127.036863383869,37.5235436958466
23,11970460,스타벅스압구정점,압구정점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106090000,1,대지,609,,서울특별시 강남구 신사동 609,116804166516,서울특별시 강남구 압구정로30길,17,,1168010700106090000009953,이소니프라자,서울특별시 강남구 압구정로30길 17,135894,06022,,1,,127.029541735527,37.5263220722528
24,11981761,루즈,,Q,음식,Q06,양식,Q06A01,정통양식/경양식,I56114,서양식 음식점업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106080012,1,대지,608,12,서울특별시 강남구 신사동 608-12,116804166519,서울특별시 강남구 압구정로34길,30,,1168010700106080012010013,,서울특별시 강남구 압구정로34길 30,135894,06022,,1,,127.030493838369,37.526185723886
25,11988248,자바카페,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106350000,1,대지,635,,서울특별시 강남구 신사동 635,116803005086,서울특별시 강남구 언주로,858,,1168010700106350000009864,자생한방병원,서울특별시 강남구 언주로 858,135896,06017,,1,,127.033820867984,37.5269969038292
26,11989276,스시시오,,Q,음식,Q03,일식/수산물,Q03A03,음식점-초밥전문,I56113,일식 음식점업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106350007,1,대지,635,7,서울특별시 강남구 신사동 635-7,116804166598,서울특별시 강남구 언주로170길,8,,1168010700106350008000002,스페이스데코,서울특별시 강남구 언주로170길 8,135896,06017,,1,,127.034309510646,37.5268297006757
27,11992675,카페샤인,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106340011,1,대지,634,11,서울특별시 강남구 신사동 634-11,116804166597,서울특별시 강남구 언주로168길,10,,1168010700106340011009982,,서울특별시 강남구 언주로168길 10,135895,06020,,1,,127.034373273256,37.5262715701763
28,12037415,스파크,,Q,음식,Q06,양식,Q06A01,정통양식/경양식,I56114,서양식 음식점업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106560007,1,대지,656,7,서울특별시 강남구 신사동 656-7,116804166473,서울특별시 강남구 선릉로155길,23,3,1168010700106560007027071,,서울특별시 강남구 선릉로155길 23-3,135897,06019,,,,127.037665779106,37.5253703615743
29,12037633,가드너아드리아,,Q,음식,Q06,양식,Q06A01,정통양식/경양식,I56114,서양식 음식점업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106480020,1,대지,648,20,서울특별시 강남구 신사동 648-20,116804166524,서울특별시 강남구 압구정로46길,73,,1168010700106480020010461,,서울특별시 강남구 압구정로46길 73,135896,06020,,1,,127.036643127699,37.5239563833514
30,12043282,잭슨피자,,Q,음식,Q07,패스트푸드,Q07A01,피자전문,I56192,"피자, 햄버거, 샌드위치 및 유사 음식점업",11,서울특별시,11680,강남구,1168054500,압구정동,1168011000,압구정동,1168011000104940000,1,대지,494,,서울특별시 강남구 압구정동 494,116803122007,서울특별시 강남구 압구정로,343,,1168011000104940000004966,갤러리아백화점,서울특별시 강남구 압구정로 343,135902,06008,,1,,127.04008070443,37.5284986430328
31,12047936,카페보니또압구정점,압구정점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700105980000,1,대지,598,,서울특별시 강남구 신사동 598,116803121022,서울특별시 강남구 논현로,840,,1168010700105980000010546,,서울특별시 강남구 논현로 840,135893,06025,,1,,127.028614999648,37.5236293207439
32,12047966,마크레인커피,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106570024,1,대지,657,24,서울특별시 강남구 신사동 657-24,116804166474,서울특별시 강남구 선릉로157길,23,5,1168010700106570024010087,,서울특별시 강남구 선릉로157길 23-5,135897,06018,,1,,127.037851838523,37.5258584454646
33,12048808,아미띠에카페,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106000015,1,대지,600,15,서울특별시 강남구 신사동 600-15,116804166516,서울특별시 강남구 압구정로30길,53,,1168010700106000015000001,성지빌딩,서울특별시 강남구 압구정로30길 53,135893,06025,,1,,127.029155754379,37.5238049669274
34,12052765,꿀잠,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700105920007,1,대지,592,7,서울특별시 강남구 신사동 592-7,116804166516,서울특별시 강남구 압구정로30길,78,,1168010700105920007010959,,서울특별시 강남구 압구정로30길 78,135893,06025,,,,127.028779223539,37.5223061255899
35,12055818,불꾼,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106600013,1,대지,660,13,서울특별시 강남구 신사동 660-13,116804166524,서울특별시 강남구 압구정로46길,5,14,1168010700106600013009742,,서울특별시 강남구 압구정로46길 5-14,135897,06018,,,,127.037871167703,37.5278769584858
36,12065584,MANOFFIN,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106680000,1,대지,668,,서울특별시 강남구 신사동 668,116803122007,서울특별시 강남구 압구정로,172,,1168011000104350000000001,압구정역,서울특별시 강남구 압구정로 172,135110,06022,,B1,,127.028465660772,37.5264213511059
37,12070299,다이아만티노,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700105980006,1,대지,598,6,서울특별시 강남구 신사동 598-6,116803121022,서울특별시 강남구 논현로,836,,1168010700105980006010715,삼신빌딩,서울특별시 강남구 논현로 836,135893,06025,,1,,127.02858842337,37.5230614397282
38,12074889,더그린테이블,,Q,음식,Q09,유흥주점,Q09A08,빠/카페/스탠드빠,I56211,일반유흥 주점업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106550004,1,대지,655,4,서울특별시 강남구 신사동 655-4,116804166473,서울특별시 강남구 선릉로155길,13,,1168010700106550004010201,,서울특별시 강남구 선릉로155길 13,135897,06019,,2,,127.038560139137,37.5253235826494
39,12077231,태백한우실비,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700105890010,1,대지,589,10,서울특별시 강남구 신사동 589-10,116804166145,서울특별시 강남구 논현로152길,27,,1168010700105890010011215,SAMO,서울특별시 강남구 논현로152길 27,135893,06025,,1,,127.030327298296,37.5215709728782
40,12080882,만,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106360023,1,대지,636,23,서울특별시 강남구 신사동 636-23,116804166523,서울특별시 강남구 압구정로42길,24,,1168010700106360023009817,,서울특별시 강남구 압구정로42길 24,135896,06017,,1,,127.034925194871,37.5273393222151
41,12094110,요요도산대로점,도산대로점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106290015,1,대지,629,15,서울특별시 강남구 신사동 629-15,116802122001,서울특별시 강남구 도산대로,235,,1168010700106290015000001,(주)평화자동차강남사옥,서울특별시 강남구 도산대로 235,135895,06026,,1,,127.032623793134,37.521571784255
42,12100015,에너지키친,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106260030,1,대지,626,30,서울특별시 강남구 신사동 626-30,116804166275,서울특별시 강남구 도산대로37길,40,,1168010700106260030010582,,서울특별시 강남구 도산대로37길 40,135895,06024,,,,127.031477969392,37.5235717389893
43,12104142,도니죠화로구이,,Q,음식,Q01,한식,Q01A02,갈비/삼겹살,I56111,한식 음식점업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106610016,1,대지,661,16,서울특별시 강남구 신사동 661-16,116804166477,서울특별시 강남구 선릉로161길,24,,1168010700106610016009771,Y&B찬화빌딩,서울특별시 강남구 선릉로161길 24,135897,06018,,,,127.038474321088,37.5276025447609
44,12108269,더블핸드스테이크압구정점,압구정점,Q,음식,Q06,양식,Q06A08,스테이크전문점,I56114,서양식 음식점업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106640024,1,대지,664,24,서울특별시 강남구 신사동 664-24,116804166477,서울특별시 강남구 선릉로161길,7,,1168010700106640024009870,,서울특별시 강남구 선릉로161길 7,135897,06018,,1,,127.039602582389,37.5269629681387
45,12109366,포라이브,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106600012,1,대지,660,12,서울특별시 강남구 신사동 660-12,116804166477,서울특별시 강남구 선릉로161길,32,,1168010700106600012009755,,서울특별시 강남구 선릉로161길 32,135897,06018,,,,127.037816456288,37.5277323445187
46,12114853,커피니,압구정점,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106360002,1,대지,636,2,서울특별시 강남구 신사동 636-2,116803005086,서울특별시 강남구 언주로,866,,1168010700106360002009773,방우빌딩,서울특별시 강남구 언주로 866,135896,06017,,,,127.033903466455,37.5276102943903
47,12118626,미식바,,Q,음식,Q06,양식,Q06A01,정통양식/경양식,I56114,서양식 음식점업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106460008,1,대지,646,8,서울특별시 강남구 신사동 646-8,116804166594,서울특별시 강남구 언주로164길,35,3,1168010700106460008010152,,서울특별시 강남구 언주로164길 35-3,135896,06020,,,,127.0364184212,37.5255944644969
